License_Number,Name,Date_of_Birth,Father_Name,Citizenship_Number,Phone_Number
62-70-76949345,Anita KC,05-04-1981,Krishna Neupane,49-42-44-99843,972161538
40-42-16492664,Pawan Subedi,30-10-1992,Pradeep Shrestha,90-32-75-93353,974726149
02-10-32067281,Ram Timilsina,14-07-1986,Bijay Acharya,90-05-03-66787,986894724
89-11-24924135,Pradeep Thapa,15-08-1990,Bimal Pradhan,86-18-19-72078,989166820
81-78-20723312,Sneha Karki,08-10-1990,Dinesh Karki,27-19-78-29412,975759009
38-33-55222692,Pratima Pandey,31-05-1998,Naren Basnet,14-98-16-35602,973083777
02-42-74928437,Nisha Khatri,13-10-1989,Bijay Gyawali,42-75-79-73823,976689113
83-02-48548429,Niraj Khatiwada,08-01-2006,Prabin Acharya,04-02-15-59346,986673580
60-62-30967341,Asmita Thapa,15-10-1988,Bibek Sapkota,19-04-14-87731,972149125
25-03-35037489,Jitendra Sharma,15-09-2002,Prashant Pradhan,50-99-68-64329,982827248
14-88-74737803,Anil Neupane,08-07-1991,Santosh Timilsina,00-80-95-17414,983523369
40-42-16492664,Rajan Bhusal,23-07-2005,Ashok Panta,90-05-03-66787,986829531
37-34-85135336,Hari Shrestha,22-01-1972,Bimal Acharya,31-40-56-93318,972872600
12-65-42011066,Sanjita Basnet,10-12-1987,Ashok Subedi,54-53-16-01741,988521776
04-98-65677055,Anita Acharya,05-11-1995,Prashant Tamang,05-35-07-66808,988606437
76-48-96162004,Sabina Devkota,21-07-1972,Rabin Bajracharya,71-29-17-40613,982841909
74-93-52534161,Sneha Pandey,08-04-2002,Milan Ghimire,89-25-15-22226,979004164
73-24-23236122,Naren Khatiwada,24-12-1971,Sandeep Dahal,01-57-97-46047,988086860
34-32-11927484,Sunil Dahal,28-01-1974,Rabin Khatiwada,88-80-38-75930,982193927
52-74-14484087,Bikash Panta,16-03-1973,Ramesh Khatri,98-60-76-16141,977627804
12-82-68974230,Bibek Bhandari,26-02-2003,Manish Poudel,61-49-21-72695,984884091
45-79-29102911,Santoshi Bhusal,15-12-1994,Pradeep Bajracharya,67-83-00-58344,977058066
63-15-70370553,Sneha Dhamala,05-04-2005,Arjun Bhusal,56-53-74-31411,984409056
66-71-81551281,Pradeep Basnet,03-09-1976,Suman Gyawali,92-42-26-40627,977305094
83-86-21393065,Arjun Pandey,21-11-1981,Santosh Gyawali,28-72-19-28096,979456107
67-33-31501813,Asha Ghimire,18-10-1985,Ashok Chhetri,01-20-70-09804,977266684
94-03-87496439,Santosh Subedi,27-01-1975,Naren Adhikari,26-49-79-89427,988407161
17-74-55642474,Milan Rijal,26-11-1977,Pradeep Gyawali,15-03-01-94815,983946247
25-72-32554310,Bishnu Rijal,22-03-1990,Ramesh Bista,17-88-64-64711,988518323
94-14-79912792,Sneha Bajracharya,01-09-1987,Bishnu Aryal,71-50-82-61318,981294086
59-47-70048581,Roshani Dahal,23-01-1978,Krishna Tamang,66-46-33-45260,973438148
79-10-41836032,Pooja Dhamala,16-06-1999,Suman Pradhan,84-27-41-25366,977305094
64-28-59505500,Manish Bhandari,11-10-1971,Saroj Bhattarai,56-53-74-31411,976620593
14-88-93061494,Roshan Aryal,08-04-1973,Pradeep Regmi,54-53-16-01741,976404861
73-64-52963289,Sita Acharya,31-08-1976,Bimal Pradhan,52-23-62-39694,973153827
45-22-11780087,Rabin Bhusal,09-01-1971,Santosh Thapa,18-50-42-44000,972468533
51-87-78248086,Sanjita Devkota,23-10-1973,Pradeep Pokhrel,20-32-25-58444,973698204
07-36-12673286,Suren Acharya,02-05-1977,Narendra Dahal,68-63-42-50643,986907555
01-18-22823990,Pradeep Bhandari,30-10-1992,Ramesh Acharya,31-99-08-95179,973438148
80-36-75568928,Nisha Shrestha,27-06-1988,Anil Pandey,44-83-52-38030,971856343
16-36-42547599,Shova Poudyal,11-06-1980,Narendra Neupane,83-99-77-90200,987102887
59-63-70248421,Shova Poudyal,15-09-2002,Narendra Bista,25-95-32-12662,975132035
23-38-94434048,Asmita Karki,19-10-1973,Ram Rijal,77-84-36-61595,982192866
31-44-26477273,Maheshwar Panta,16-10-1978,Naren Thapa,05-61-86-66473,976486048
79-99-41045967,Laxmi Gurung,01-05-1997,Dipesh Rai,12-04-41-87497,972872600
23-38-94434048,Ranju Adhikari,24-12-1971,Manish Acharya,31-41-48-03763,979244374
75-25-80769553,Sita Subedi,13-09-1970,Bimal Ghimire,84-27-41-25366,984759585
19-18-18785404,Sunil Khatiwada,30-04-1992,Bijay Karki,39-73-01-60771,985198535
22-86-31410176,Jitendra Sharma,29-12-1982,Naren Basnet,45-62-27-29163,987774623
60-63-14001423,Suren Neupane,31-12-1979,Rabin Khatri,34-98-26-94235,987151560
24-38-38751011,Sneha Pandey,06-07-1981,Sunil Poudyal,05-90-34-24436,987556858
58-83-12568151,Sunita Bhattarai,22-01-1977,Ganesh Basnet,86-89-69-26296,977452382
02-52-16351970,Ramesh Basnet,06-07-1980,Prabin Khatiwada,41-70-96-78197,978259540
38-66-90466949,Lila Magar,24-09-1998,Hari Ghimire,26-46-41-82268,985050602
00-97-91431349,Manish Timilsina,16-07-1995,Maheshwar Poudyal,95-33-08-81397,985215634
00-94-18832623,Bimal Ghimire,05-02-1986,Shyam Regmi,75-98-65-13297,982196415
14-75-51724448,Pradeep Pradhan,15-05-1986,Manish Bhandari,04-73-05-90363,972485962
08-73-94613065,Sanjita Basnet,09-12-1990,Pradeep Bajracharya,20-25-63-85536,984884091
89-22-46292325,Asmita Tamang,19-01-1985,Dipesh Gyawali,84-27-41-25366,972139895
34-04-89798609,Anil Thapa,09-04-1973,Pawan Acharya,57-35-87-77467,981180636
74-50-25067271,Bijay Poudyal,26-04-1985,Shyam Basnet,05-07-96-82980,974672118
85-82-49593640,Dipesh Rai,11-07-1972,Deepak Bhandari,78-45-18-46930,974404439
29-51-26783515,Sunita Neupane,16-03-1973,Santosh Bhusal,06-47-74-68275,989765592
12-34-75958109,Kusum KC,23-10-1982,Bibek Basnet,19-04-14-87731,972161538
75-48-48085063,Suresh KC,09-09-1974,Saroj Magar,12-04-41-87497,979096408
57-13-78472153,Maheshwar Sharma,19-10-1982,Pradeep Pradhan,68-63-42-50643,986237746
