License_Number,Name,Blood_Group,Address,DOB,Father_Name,Citizenship_Number,Phone_Number,License_Category
01-06-59532994,Pradeep Shrestha,B-,"Bharatpur Metropolitan City-6, Chitwan",03/19/1985,Mina Thapa,27-01-78-57314,9799776929,B
01-06-23496428,Santosh Karki,B+,"Nepalgunj Sub-Metropolitan City-5, Banke",04/23/1984,Samita Shrestha,27-01-78-42135,9698883229,A
01-06-73199817,Anjana Sharma,O-,"Bharatpur Metropolitan City-5, Chitwan",01/16/1985,Basant Bhandari,27-01-78-74189,9301746286,C
01-06-38358574,Rupa Gautam,B+,"Pokhara Metropolitan City-6, Kaski",06/14/1987,Naresh Thapa,27-01-78-86923,9976108051,B
01-06-82723981,Raj Kumar Nepal,B-,"Pokhara Metropolitan City-1, Kaski",05/20/1986,Mina Thapa,27-01-78-42833,9511489820,B
01-06-54236573,Sabita Thapa,O+,"Lalitpur Metropolitan City-1, Lalitpur",11/27/1987,Geeta Sapkota,27-01-78-87986,9664658573,A
01-06-59466033,Madhu Khadka,O-,"Dhangadhi Sub-Metropolitan City-5, Kailali",07/20/1986,Vimala Pokharel,27-01-78-68977,9655650190,A
01-06-67605730,Gita Shrestha,A-,"Kathmandu Metropolitan City-4, Kathmandu",03/02/1996,Govind Shrestha,27-01-78-54796,9829928141,B
01-06-31504965,Madhu Khadka,O-,"Dharan Sub-Metropolitan City-3, Sunsari",10/26/1992,Bikash Rijal,27-01-78-76251,9795906297,B
01-06-77627640,Naresh Thapa,A-,"Dhangadhi Sub-Metropolitan City-5, Kailali",12/18/1985,Bipin Paudel,27-01-78-94645,9996360346,C
01-06-68340044,Sagar Gurung,AB+,"Butwal Sub-Metropolitan City-2, Rupandehi",05/11/1986,Prakash Bista,27-01-78-92410,9163637368,A
01-06-62660532,Indira Rai,A-,"Pokhara Metropolitan City-1, Kaski",07/06/1998,Anjana Sharma,27-01-78-37693,9649160186,B
01-06-69184439,Ashish Shah,O+,"Nepalgunj Sub-Metropolitan City-7, Banke",05/25/1999,Raj Kumar Nepal,27-01-78-72136,9935436521,A
01-06-39133546,Rekha Maharjan,A-,"Nepalgunj Sub-Metropolitan City-4, Banke",12/17/1981,Kavita Basnet,27-01-78-44713,9729108533,A
01-06-34722653,Meena Subedi,AB-,"Nepalgunj Sub-Metropolitan City-4, Banke",01/27/1999,Bishal Ghimire,27-01-78-74844,9815062352,C
01-06-27718796,Sabin Shrestha,AB+,"Nepalgunj Sub-Metropolitan City-7, Banke",11/10/1997,Devi Subedi,27-01-78-21455,9254253695,B
01-06-21963954,Gita Shrestha,A-,"Nepalgunj Sub-Metropolitan City-8, Banke",12/28/1996,Lok Bahadur Gurung,27-01-78-64036,9554338126,B
01-06-79057518,Samita Shrestha,B-,"Butwal Sub-Metropolitan City-3, Rupandehi",06/24/1998,Maya Gurung,27-01-78-50373,9268372180,B
01-06-52538904,Sandeep Aryal,B+,"Bharatpur Metropolitan City-6, Chitwan",03/12/2000,Narayan Bhandari,27-01-78-52915,9613865346,A
01-06-72534200,Bijay Baniya,A-,"Hetauda Sub-Metropolitan City-3, Makwanpur",06/28/1987,Rajesh Rana,27-01-78-52851,9223593231,B
01-06-10481725,Reena Maharjan,A-,"Lalitpur Metropolitan City-8, Lalitpur",09/07/1987,Ramesh Shrestha,27-01-78-41407,9180268812,C
01-06-86241603,Rishi Gautam,O+,"Biratnagar Metropolitan City-4, Morang",02/27/1998,Anita Gurung,27-01-78-30206,9355914684,B
01-06-76345046,Anita Maharjan,O-,"Biratnagar Metropolitan City-5, Morang",10/25/1981,Manoj Khadka,27-01-78-77458,9519497368,A
01-06-96254981,Arjun Shrestha,O-,"Birgunj Metropolitan City-3, Parsa",03/06/1995,Raj Kumar Nepal,27-01-78-71550,9326892557,C
01-06-76110197,Anjana Sharma,B+,"Kathmandu Metropolitan City-11, Kathmandu",05/16/1981,Bijay Baniya,27-01-78-20882,9884348312,B
01-06-82316099,Bhim Gurung,B-,"Lalitpur Metropolitan City-8, Lalitpur",06/24/1999,Preeti Dhakal,27-01-78-53392,9643246581,A
01-06-23205133,Hari Shrestha,A+,"Lalitpur Metropolitan City-1, Lalitpur",04/26/1980,Rekha Koirala,27-01-78-52372,9280376901,A
01-06-77745543,Bijay Baniya,O+,"Bharatpur Metropolitan City-7, Chitwan",05/13/1999,Anita Shrestha,27-01-78-26103,9827214764,C
01-06-21696872,Kabita Aryal,B+,"Bharatpur Metropolitan City-2, Chitwan",07/04/1981,Rekha Koirala,27-01-78-86772,9110402751,A
01-06-41833168,Santosh Poudel,A+,"Nepalgunj Sub-Metropolitan City-3, Banke",08/19/2000,Ramesh Shrestha,27-01-78-25020,9597680418,B
01-06-50699930,Ramesh Shrestha,O-,"Dhangadhi Sub-Metropolitan City-2, Kailali",11/27/1994,Preeti Dhakal,27-01-78-78692,9404863271,A
01-06-47677836,Shrimati Khadka,AB+,"Dhangadhi Sub-Metropolitan City-4, Kailali",12/22/1984,Sabin Shrestha,27-01-78-11788,9307595871,B
01-06-41000431,Meena Subedi,B+,"Lalitpur Metropolitan City-5, Lalitpur",08/27/1998,Anuradha Tamang,27-01-78-68155,9560944626,B
01-06-81220624,Bishal Ghimire,AB-,"Butwal Sub-Metropolitan City-3, Rupandehi",07/19/1998,Ram Krishna Joshi,27-01-78-71114,9353853249,B
01-06-85189676,Gita Shrestha,A+,"Bharatpur Metropolitan City-4, Chitwan",06/16/1982,Indira Rai,27-01-78-13401,9465387987,A
01-06-44932337,Kalpana Bhattarai,A-,"Lalitpur Metropolitan City-3, Lalitpur",07/03/1986,Rajesh Rana,27-01-78-78074,9210684290,A
01-06-52860244,Bikash Rijal,A-,"Itahari Sub-Metropolitan City-7, Sunsari",03/09/2000,Pramila Bhandari,27-01-78-48679,9509009751,C
01-06-98185517,Sangeeta Aryal,O-,"Hetauda Sub-Metropolitan City-3, Makwanpur",01/14/1984,Amit Giri,27-01-78-54589,9748885108,A
01-06-87760981,Naresh Thapa,A-,"Bharatpur Metropolitan City-2, Chitwan",07/20/1986,Shanti Maharjan,27-01-78-96315,9680269713,A
01-06-20503014,Manoj Shah,O-,"Lalitpur Metropolitan City-7, Lalitpur",09/04/1982,Bhim Gurung,27-01-78-47300,9281084697,C
01-06-82199959,Ramesh Lama,AB-,"Biratnagar Metropolitan City-1, Morang",08/28/1989,Ashish Shah,27-01-78-28129,9601136114,B
01-06-37085366,Sunita Dhungana,O+,"Kathmandu Metropolitan City-8, Kathmandu",09/24/1982,Ravi Bhattarai,27-01-78-85892,9486950941,A
01-06-23053420,Suresh Rai,B-,"Itahari Sub-Metropolitan City-2, Sunsari",07/20/1984,Anita Shrestha,27-01-78-59152,9855425234,A
01-06-98643935,Sabin Shrestha,O-,"Kathmandu Metropolitan City-7, Kathmandu",11/28/1999,Maya Gurung,27-01-78-14089,9319303759,C
01-06-96919632,Sarita Baniya,B+,"Dhangadhi Sub-Metropolitan City-5, Kailali",12/13/1989,Arjun Shrestha,27-01-78-53126,9953041894,C
01-06-64510598,Rishi Gautam,O-,"Hetauda Sub-Metropolitan City-3, Makwanpur",07/26/1997,Dhiraj Lama,27-01-78-76274,9485672135,A
01-06-25083307,Kalpana Bhattarai,O+,"Lalitpur Metropolitan City-6, Lalitpur",08/16/1988,Meena Subedi,27-01-78-89642,9845674928,B
01-06-55204115,Anusha Thapa,B+,"Nepalgunj Sub-Metropolitan City-3, Banke",02/26/1990,Sabin Shrestha,27-01-78-42888,9274420566,B
01-06-84185954,Kalpana Bhattarai,A+,"Bharatpur Metropolitan City-1, Chitwan",03/21/1989,Sumitra Thapa,27-01-78-79772,9652993197,A
01-06-65342444,Bishal Ghimire,B+,"Kathmandu Metropolitan City-1, Kathmandu",09/24/1983,Bikash Rijal,27-01-78-22945,9706382615,B
01-06-21075834,Hari Shrestha,AB+,"Nepalgunj Sub-Metropolitan City-5, Banke",05/06/1988,Devi Subedi,27-01-78-89529,9490091335,B
01-06-54842218,Sumitra Thapa,O+,"Dharan Sub-Metropolitan City-6, Sunsari",09/02/1992,Shrimati Khadka,27-01-78-29522,9991802574,B
01-06-86282587,Sagar Gurung,A-,"Dhangadhi Sub-Metropolitan City-5, Kailali",11/12/1981,Rekha Maharjan,27-01-78-15916,9122572157,C
01-06-18140679,Bikash Rijal,B-,"Dharan Sub-Metropolitan City-8, Sunsari",03/05/1987,Naresh Thapa,27-01-78-74038,9469552665,C
01-06-86934710,Anita Gurung,A-,"Dhangadhi Sub-Metropolitan City-1, Kailali",08/26/1983,Bikash Rijal,27-01-78-96493,9594702934,C
01-06-81884866,Pramila Bhandari,B-,"Itahari Sub-Metropolitan City-3, Sunsari",10/07/1985,Kabita Aryal,27-01-78-56831,9504198256,A
