License_Number,Name,Blood_Group,Address,DOB,Father_Name,Citizenship_Number,Phone_Number,License_Category
01-06-39710548,Rupa Gautam,O+,"Itahari Sub-Metropolitan City-4, Sunsari",03/14/1993,Arjun Shrestha,27-01-78-56400,9738839930,C
01-06-59749327,Arjun Shrestha,AB+,"Birgunj Metropolitan City-2, Parsa",04/05/1989,Sabita Thapa,27-01-78-12440,9999634402,C
01-06-29366075,Govind Shrestha,AB-,"Kathmandu Metropolitan City-1, Kathmandu",10/20/1980,Ramesh Lama,27-01-78-66156,9927834060,A
01-06-56694172,Rajesh Rana,B+,"Biratnagar Metropolitan City-2, Morang",05/22/1984,Ravi Maharjan,27-01-78-45047,9383844778,A
01-06-71227567,Prakash Bista,AB+,"Lalitpur Metropolitan City-2, Lalitpur",01/22/1989,Binod Shrestha,27-01-78-19989,9628503115,A
01-06-28017883,Geeta Sapkota,O+,"Kathmandu Metropolitan City-5, Kathmandu",06/19/1989,Lok Bahadur Gurung,27-01-78-47727,9406632554,A
01-06-29703924,Sanjay Shakya,A+,"Kathmandu Metropolitan City-11, Kathmandu",11/04/1982,Prakash Bista,27-01-78-64902,9286257412,C
01-06-74410480,Anuradha Tamang,A-,"Dharan Sub-Metropolitan City-6, Sunsari",02/23/1993,Rupa Gautam,27-01-78-29446,9881373907,A
01-06-99559211,Kavita Basnet,B-,"Biratnagar Metropolitan City-4, Morang",11/25/1985,Ramesh Lama,27-01-78-61060,9739308589,A
01-06-84665698,Ramesh Shrestha,O+,"Lalitpur Metropolitan City-8, Lalitpur",08/18/1997,Asha Rai,27-01-78-33781,9530964244,A
01-06-24344854,Uttam Neupane,B-,"Lalitpur Metropolitan City-4, Lalitpur",05/18/1999,Manoj Shah,27-01-78-79777,9306203439,C
01-06-82617789,Amit Giri,B-,"Kathmandu Metropolitan City-4, Kathmandu",03/05/1985,Meena Subedi,27-01-78-70776,9953619767,B
01-06-31201453,Ravi Maharjan,AB-,"Hetauda Sub-Metropolitan City-4, Makwanpur",11/02/1982,Sarojini Maharjan,27-01-78-93937,9152335284,A
01-06-25089646,Rameshwor Maharjan,A+,"Birgunj Metropolitan City-2, Parsa",09/28/1987,Kalpana Bhattarai,27-01-78-50512,9197023334,B
01-06-86552796,Devi Subedi,B+,"Kathmandu Metropolitan City-9, Kathmandu",07/25/1998,Anita Maharjan,27-01-78-20625,9968027813,B
01-06-99689685,Manoj Shah,O-,"Dhangadhi Sub-Metropolitan City-2, Kailali",06/01/1989,Sagar Gurung,27-01-78-36902,9958925566,B
01-06-31073099,Vimala Pokharel,A-,"Butwal Sub-Metropolitan City-1, Rupandehi",06/02/1995,Nirmala Shrestha,27-01-78-67537,9574149213,B
01-06-48422235,Rita Magar,A+,"Dhangadhi Sub-Metropolitan City-6, Kailali",09/17/1982,Sagar Gurung,27-01-78-94738,9159597778,C
01-06-60925338,Dinesh Joshi,B-,"Hetauda Sub-Metropolitan City-7, Makwanpur",03/06/1985,Dhiraj Lama,27-01-78-85346,9582971328,A
01-06-92023396,Manoj Shah,B+,"Kathmandu Metropolitan City-11, Kathmandu",03/12/1983,Arjun Shrestha,27-01-78-18739,9933857260,A
01-06-48183155,Sandeep Aryal,AB+,"Butwal Sub-Metropolitan City-8, Rupandehi",08/15/1990,Rekha Maharjan,27-01-78-79446,9778200989,B
01-06-95508151,Niroj Acharya,B+,"Birgunj Metropolitan City-1, Parsa",02/19/1998,Laxmi Gautam,27-01-78-85105,9208802284,B
01-06-94086066,Naresh Thapa,AB+,"Dhangadhi Sub-Metropolitan City-6, Kailali",05/02/1997,Anuradha Tamang,27-01-78-14803,9547105179,C
01-06-78962281,Gita Shrestha,O-,"Dharan Sub-Metropolitan City-6, Sunsari",08/21/1983,Jyoti Koirala,27-01-78-17042,9534884173,C
01-06-99469110,Suresh Rai,A-,"Nepalgunj Sub-Metropolitan City-4, Banke",10/18/1980,Samita Shrestha,27-01-78-97723,9153046027,B
01-06-15859021,Rupa Gautam,AB-,"Lalitpur Metropolitan City-6, Lalitpur",07/15/2000,Anita Gurung,27-01-78-17257,9379144258,A
